run_id	arm	note	code_operation	prose_claim
2025-11-29T04-37-04+0000	confirmation_seeking	claim states no transformations were applied, but code collapses the red card count into a binary any_red_card indicator	collapse the red card count into a binary any-red-card outcome	no transformations were applied; variables used as measured in the original data
2025-11-29T04-37-04+0000	confirmation_seeking	claim states no transformations were applied, but code dichotomizes skin tone into skin_dark at >=0.75 vs <0.25	define the exposure by splitting skin tone into extreme dark (>=0.75) vs light (<0.25) groups and discarding players in the intermediate range	no transformations were applied; variables used as measured in the original data
2025-11-29T05-43-38+0000	confirmation_seeking	code hand-enters literal odds-ratio values into models_plot for the forest plot rather than computing them, contradicting the claim that no manual calculations were used	hand-enter comparison odds ratios from other (unadjusted, +games, +position) specifications as literal values for the forest plot rather than recomputing them here	no manual calculations or selective reporting were used; all results are generated directly from the code
2025-11-29T08-21-37+0000	confirmation_seeking	claim states cutpoint 0.625 was explored; code computes only cutpoints 0.25/0.375/0.5	refit the primary logistic model substituting alternative dark-skin cutpoints (0.375, 0.5) as a robustness check	alternative cutpoints of 0.375, 0.5, and 0.625 were explored
2025-11-29T08-21-37+0000	confirmation_seeking	claim lists 0.625 among explored cutpoints; code computes only 0.25/0.375/0.5	refit the primary logistic model substituting alternative dark-skin cutpoints (0.375, 0.5) as a robustness check	skin tone cutpoints 0.25/0.375/0.5/0.625 were explored and 0.25 was chosen as it maximizes power and is substantively defensible
2025-11-29T08-21-37+0000	confirmation_seeking	claim states a >=3 games restriction was explored; code only restricts to >=2 games	restrict the sample to dyads with at least 2 games as a robustness check	all-dyads, >=2 games, and >=3 games sample restrictions were explored and all dyads was chosen to maximize power
2025-11-29T16-18-23+0000	confirmation_seeking	claim states missing values were median-imputed; code fills with 0, which is the mean under standardization, not the median	fill missing standardized height/weight with 0 (i.e., the sample mean under standardization, despite the adjacent comment calling it median imputation)	missing height (6 observations) and weight (121 observations) were imputed using the median, with standardized variables centered at zero so the median imputation equals zero
2025-11-29T16-18-23+0000	confirmation_seeking	claim says the primary analysis used Huber-White robust SEs; the primary test uses the model's default non-robust MLE covariance	test the skin-tone coefficient with a two-sided Wald z-test derived from the model's coefficient and standard error	conventional robust (Huber-White) standard errors were used for the primary analysis, with referee-clustered standard errors used as a robustness check
2025-11-29T16-49-58+0000	confirmation_seeking	claim states games and yellow cards were standardized; code standardizes only height, weight, and age, leaving games and yellowCards on their raw scale in the model	standardize height, weight, and age to z-scores before modeling	continuous covariates (number of games, number of yellow cards, player height, weight, age) were included in the model, standardized
2025-11-29T16-49-58+0000	confirmation_seeking	claim reports 500 of 500 iterations converged, but the code silently discards non-converging fits, so retained iterations may be fewer than 500 and full convergence is not guaranteed	bootstrap the risk difference with 500 resamples-with-replacement, refitting the primary model each iteration and silently discarding non-converging fits	bootstrap convergence was achieved in 500 of 500 iterations
2025-11-29T16-49-58+0000	confirmation_seeking	claim states seven cutpoints (incl. 0.40, 0.45, 0.50) were tested; code only re-runs at 0.25, 0.30, 0.35, and 0.375	re-run the primary model at alternative skin-tone cutpoints (0.30, 0.35, 0.375) as a robustness check	seven skin tone cutpoints were tested: 0.25, 0.30, 0.35, 0.375, 0.40, 0.45, 0.50
2025-11-29T16-49-58+0000	confirmation_seeking	claim states with/without physical characteristics and with/without league/position were also tested; code only drops yellowCards as a covariate-set variation	drop yellowCards from the adjustment set and rerun the model as a robustness check	multiple covariate set combinations were tested (with/without yellow cards, with/without physical characteristics, with/without league/position)
2025-11-29T22-45-38+0000	confirmation_seeking	claim lists log(games+1) as a covariate; decision 35's covariate set uses raw games (log_games created only for the Poisson model, decision 59)	pick the covariate set (position, league, games, yellow rate, height, weight) and fit a logistic model of any-red-card on the dark-skin indicator	covariates included were position, league country, log(games+1), yellow card rate, height (mean-imputed for 46 dyads), and weight (mean-imputed for 753 dyads)
2025-11-29T22-45-38+0000	confirmation_seeking	claim states games was log-transformed for the model; the main model's covariate set (decision 35) enters raw games, with log transform appearing only in the Poisson offset (decision 59)	pick the covariate set (position, league, games, yellow rate, height, weight) and fit a logistic model of any-red-card on the dark-skin indicator	games was log-transformed to account for a non-linear relationship with red card risk
2025-11-30T00-13-01+0000	confirmation_seeking	code hardcodes 0.25 because it produced the largest/most significant split, not because it is the median; the resulting groups are 42%/58%, so 0.25 is not a median/equal-group split	scan several skin-tone cutpoints, compare unadjusted red-card rates at each, then hardcode the 0.25 cutpoint as the primary exposure because it produced the largest/most significant split	chose the 0.25 cutpoint partly because it is the median, splitting the sample into roughly equal groups to maximize statistical power
team-07	human	code restricts the working sample to referee-player rows with at least one red card, while the claim states the final analysis included all player-referee dyads	restrict the working sample to referee-player rows with at least one red card	decided to include all player-referee dyads in the analysis following the feedback round
team-10	human	code correlates daysold (player age) against skin tone in the confound screen, but claim says age was not included in any analysis	choose which player-level variables to correlate against skin tone as a confound screen	player age was not included in any analyses because a player's age at each particular match/referee pairing could not be determined
team-10	human	decision tests club's association with skin tone, an analysis using the club variable the claim says was impossible	test club's association with skin tone	no analyses were possible using club/league membership variables because each player was linked to only one 2012-2013 club while red-card data spanned multiple years
team-10	human	decision fits models testing whether club predicts the disciplinary outcomes, contradicting claim that no club analyses were possible	fit models testing whether club and whether position predict the disciplinary outcome, repeated for every outcome	no analyses were possible using club/league membership variables because each player was linked to only one 2012-2013 club while red-card data spanned multiple years
team-10	human	decision uses club as a covariate in the primary adjusted models, contradicting claim that club could not be analyzed	choose club+position as the confound adjustment set for the skin-tone model, per outcome	no analyses were possible using club/league membership variables because each player was linked to only one 2012-2013 club while red-card data spanned multiple years
team-10	human	decision adds club-average skin tone as a covariate, a club-membership analysis the claim says was impossible	add club-average skin tone as covariate alongside individual tone and position, per outcome	no analyses were possible using club/league membership variables because each player was linked to only one 2012-2013 club while red-card data spanned multiple years
team-10	human	code adjusts for club + position, but claim lists covariates as games, win/draw percentage, and position (no club)	choose club+position as the confound adjustment set for the skin-tone model, per outcome	the model predicted red cards from fixed effects of mean skin tone, controlling for games in dyad, win/draw percentage, and alphabetically dummy-coded position, with dyads nested in referees nested in referee country, and random intercepts at each level
team-10	human	claim lists covariates as win/draw/loss percentages and position; code's adjustment set is club and position	choose club+position as the confound adjustment set for the skin-tone model, per outcome	win percentage, draw percentage, and position were used as covariates in all primary analyses, and loss percentage was also included since the three percentages are linearly dependent
team-10	human	claim says yellow/bookings used covariates position, win%, draw%, games; code uses club and position	choose club+position as the confound adjustment set for the skin-tone model, per outcome	the same nesting structure and same covariates (position, win percentage, draw percentage, games per dyad) were supported for the yellow-card and total-bookings analyses
team-10	human	code adds club-average skin tone (and club black-count) as covariates, assessing the club confound the claim says could not be adequately assessed	add club-average skin tone as covariate alongside individual tone and position, per outcome	other possible confounds, such as clubs having a more aggressive playing style and possibly more darker-skinned players, could not be adequately assessed in this data set
team-12	human	claim says a mixed-effects model was used to test skin tone on penalization; the code fits a zero-inflated count model, a different estimator	fit a zero-inflated count model of red cards on skin tone and a main-effects covariate set (no interactions)	a mixed-effects model was used to test whether darker player skin tone had a systematic impact on likelihood of penalization
team-13	human	claim says the relative-risk ratio approach was abandoned, but code still regresses ratio.p.darktolight on implicit bias (decision 40)	regress the dark/light red-card ratio on country implicit-bias score, weighting observations by the inverse of that same score	abandoned the relative-risk ratio approach because many probabilities were zero, leaving too few data points, and instead decided to model red card counts as a Poisson distribution as in Hypothesis 1
team-13	human	claim says the relative-risk ratio approach was abandoned, but code still regresses ratio.p.darktolight on explicit bias (decision 42)	regress the same ratio on country explicit-bias score instead, weighting by the inverse of its standard error	abandoned the relative-risk ratio approach because many probabilities were zero, leaving too few data points, and instead decided to model red card counts as a Poisson distribution as in Hypothesis 1
team-17	human	claim states logit(p[i]); code links the binomial mean via a probit function	model the count of cards given out as a binomial draw out of games played, linked to the predictor via a probit function	for each player-referee dyad the logit of red-card probability was modeled as cards[i] ~ dbin(p[i],games[i]), logit(p[i]) as a function of seven predictors
team-17	human	claim says the final analysis switched to logistic regression; the code uses a probit link and contains no logit switch	model the count of cards given out as a binomial draw out of games played, linked to the predictor via a probit function	the initial analysis used a probit regression, but the final analysis switched to logistic regression so the effect could be reported as an odds ratio
team-17	human	claim says the link was changed from probit to logit; the code uses a probit link	model the count of cards given out as a binomial draw out of games played, linked to the predictor via a probit function	the link function was changed from probit (initial approach) to logit (final approach) in order to summarize the effect as an odds ratio
team-17	human	claim calls the model logistic regression; the code uses a probit link	model the count of cards given out as a binomial draw out of games played, linked to the predictor via a probit function	the study used Bayesian logistic regression to model a player's red-card record as a function of seven predictors, addressing the skin-tone-bias question
team-17	human	claim says the two raters' scores were z-transformed and averaged into a single predictor; the code treats the rating as a latent categorical class drawn from theta with per-category Uniform(0,1) priors, not an average	treat each player's rating as a latent categorical class drawn from probabilities theta, with each category probability given an independent Uniform(0,1) prior rather than a joint simplex prior	the two raters' skin tone scores were z-transformed and then averaged into a single predictor
team-17	human	claim describes skin tone as the average of two raters' z-scores; the code models the rating as a latent categorical class with per-category Uniform priors rather than an average	treat each player's rating as a latent categorical class drawn from probabilities theta, with each category probability given an independent Uniform(0,1) prior rather than a joint simplex prior	the logistic regression modeled red-card probability as a function of seven predictors: player aggression, referee strictness, IAT score, explicit bias score, player skin tone (average of two raters' z-scores), IAT×skin-tone interaction, and explicit-bias×skin-tone interaction
team-18	human	claim states rater disagreements were resolved by averaging the two ratings; code instead drops every row where the two ratings differ	keep only rows where both raters logged a skin-tone rating and the two ratings match exactly	for cases where raters disagreed, the average of their skin tone ratings was used
team-24	human	claim says average goals per game; code derives a career goals total and never divides by games	derive a per-player career goals total from the player list and merge it back in as a new column	a variable for each player's average number of goals per game was computed
team-24	human	claim says meanIAT/meanExp were standardized; code only mean-centers them and does not divide by the sd	mean-center the implicit and explicit bias scores using the average over non-excluded referee-countries (the corresponding sd is computed but not applied)	height, weight, meanIAT, and meanExp variables were standardized
team-25	human	claim states a multilevel logistic regression was used, but decision 8 fits a Poisson GLMM	fit a poisson GLMM for red cards on height, weight, goals and position with a referee random intercept, holding skin tone out entirely	a multilevel logistic regression model was used to analyze data on male soccer players in top European divisions
team-27	human	claim says rater1 and rater2 were averaged; code sums them with no division	drop rows missing either rater score and construct a single 'rating' exposure variable as the sum of rater1 and rater2 (the comment calls it an average, but no division happens)	the two ratings 'rater1' and 'rater2' were averaged into a single variable 'rating'
team-27	human	claim says the mean of rater1 and rater2 was taken; code adds them without dividing	drop rows missing either rater score and construct a single 'rating' exposure variable as the sum of rater1 and rater2 (the comment calls it an average, but no division happens)	as with the initial approach, the mean of 'rater1' and 'rater2' was taken to create the variable 'rating'
team-27	human	claim lists position and league among model variables; the code's model includes neither	specify the Question 1 formula: redCards regressed on rating with pairwise interactions against games, goals, yellowCards, meanIAT, and meanExp	goals, position, yellow cards, league of player, and country-of-origin bias measures (meanIAT, meanExp) were included in the model
team-27	human	claim adds a player position variable to the model; the code's formula contains no position term	specify the Question 1 formula: redCards regressed on rating with pairwise interactions against games, goals, yellowCards, meanIAT, and meanExp	a Poisson regression was again performed, including the initial-approach variables plus a new variable for player position
team-27	human	claim says league was included in the model; the code's formula has no league term	specify the Question 1 formula: redCards regressed on rating with pairwise interactions against games, goals, yellowCards, meanIAT, and meanExp	a variable for the league of the player was included in the model
team-27	human	claim says the separate question 2a regression was dropped; code still fits it as a distinct model on df_2a	specify the Question 2a formula: redCards regressed on meanIAT with interactions against rating, games, goals, yellowCards, and meanExp	the separate regressions previously used to answer questions 2a and 2b were dropped
team-27	human	claim says the separate question 2b regression was dropped; code still fits it as a distinct model on df_2b	specify the Question 2b formula: redCards regressed on meanExp with interactions against rating, games, goals, yellowCards, and meanIAT	the separate regressions previously used to answer questions 2a and 2b were dropped
