run_id	arm	lines	confidence	operation
2025-11-17T20-22-41+0000	standard	219-219	medium	silently discard bootstrap iterations where the model fails to fit, rather than counting or flagging them
2025-11-17T21-31-42+0000	standard	33-37	high	parse birthday strings and derive player age relative to a fixed mid-season reference date
2025-11-18T01-05-44+0000	standard	161-162,197-198,276-277	medium	build every reported 95% interval with a fixed normal-approximation multiplier of 1.96 rather than an exact or resampled critical value
2025-11-19T04-30-13+0000	ai	110-111	medium	summarizes the unadjusted contrast as both a risk difference and a relative risk
2025-11-19T04-30-13+0000	ai	297-301	medium	approximates confidence intervals for the plotted unadjusted rates using a normal (1.96 x SE) approximation
2025-11-19T05-56-22+0000	ai	34-35	high	load the raw player-referee dyad dataset from a specific CSV path
2025-11-19T05-56-22+0000	ai	319-328	low	map p-values to significance-star annotations using conventional alpha thresholds (0.001/0.01/0.05)
2025-11-19T07-38-28+0000	positive	277-278	high	restrict this sensitivity sample to dyads with non-missing referee bias scores
2025-11-19T07-38-28+0000	positive	324-325,330-330	low	compute the plotted error bars from a normal-approximation SE of the raw proportions times 1.96
2025-11-19T07-38-28+0000	positive	340-340	low	limit the position breakdown plot to the 10 most frequent positions
2025-11-19T10-27-52+0000	positive	276-294	medium	choose which covariate effects to report in detail: all listed continuous covariates but only the first five position categories
2025-11-19T10-27-52+0000	positive	378-380	medium	bin games-played into discrete exposure categories for the exposure-stratified plot
2025-11-19T10-27-52+0000	positive	420-421	high	compute a normal-approximation (Wald) confidence interval for the unadjusted risk difference for the summary table, a different method than the delta-method CI used for the adjusted estimate
2025-11-19T11-29-03+0000	positive	43-49	medium	pick which columns carry into the modeling dataset (outcome, exposure, covariates, cluster id)
2025-11-19T11-29-03+0000	positive	149-153	high	redefine exposure using extreme skin-tone cutoffs (>=0.75 vs <=0.25) and exclude the ambiguous middle group
2025-11-19T11-29-03+0000	positive	154-162	high	refit the adjusted logistic model on the extreme-only subsample using the extreme exposure coding
2025-11-19T13-48-49+0000	positive	60-64	high	derive player age by subtracting birthday from a fixed reference date and converting days to years
2025-11-19T13-48-49+0000	positive	110-111	medium	compute the raw, unadjusted red-card rate for each skin-tone group as a descriptive baseline
2025-11-19T14-47-53+0000	positive	26-28	high	load the raw player-referee dyad dataset from a fixed file path
2025-11-19T17-56-42+0000	negative	83-99,198-198	high	bucket free-text position strings into Goalkeeper/Defender/Midfielder/Forward/Unknown via keyword matching
2025-11-19T17-56-42+0000	negative	109-111,205-205	high	one-hot encode position and league categories keeping all levels (no reference level dropped)
2025-11-19T17-56-42+0000	negative	196-197	high	build a separate sample for the continuous-exposure check using all rows with a non-missing skin-tone score, not just the dichotomized dark/light rows
2025-11-19T17-56-42+0000	negative	215-218	medium	pull the skin-tone marginal effect out of the margeff array by a hard-coded position index
2025-11-19T19-09-24+0000	negative	36-36	high	point the whole analysis at one specific CSV file as the raw player-referee dyad data
2025-11-19T19-09-24+0000	negative	82-92	medium	report the raw, unadjusted difference in red-card rate between the two skin-tone groups before any modeling
2025-11-19T20-38-58+0000	negative	67-70	medium	choose which identifiers, outcome and candidate covariates are carried into the modeling dataset
2025-11-19T22-14-21+0000	negative	326-331	low	hard-code the unadjusted odds ratio and its confidence interval as literal numbers in the forest-plot summary table rather than computing them from the data already in scope
2025-11-20T00-05-27+0000	negative	127-134	high	compute an unadjusted odds ratio for red cards by skin group with a log-scale normal-approximation CI
2025-11-20T00-05-27+0000	negative	378-378	high	hardcode the per-league odds ratios used in the plot as literal numbers instead of the values computed in the stratified-by-league loop above
2025-11-20T01-31-19+0000	negative	106-106	medium	report the crude, unadjusted red-card rate split by skin-tone group before any covariate adjustment
2025-11-20T02-49-33+0000	negative	67-68,86-89	medium	split the sample by dark_skin and compute crude (unadjusted) risk difference and odds ratio between groups
2025-11-20T04-21-39+0000	negative	52-54,90-90	high	collapse red-card counts into a binary any-red-card outcome
2025-11-20T04-21-39+0000	negative	59-74,87-88,317-317	high	bucket free-text playing positions into five coarse groups (Goalkeeper/Defender/Midfielder/Forward/Other) and apply that mapping at both player and dyad level
2025-11-20T04-21-39+0000	negative	374-378	medium	bin the continuous skin-tone score into eighths to plot red-card rate by category
2025-11-20T06-03-23+0000	negative	399-403,411-411,418-419	medium	assess whether missingness in skin-tone photos is related to the outcome, via group comparison of red-card rates and a chi-square test
2025-11-20T07-33-53+0000	negative	208-209	low	silently drop bootstrap iterations whose model fit throws an exception, excluding them from the CI
2025-11-20T10-56-52+0000	ai	115-115	high	drop remaining rows missing the standardized implicit-bias measure
2025-11-20T10-56-52+0000	ai	230-230,238-241,243-247,250-251	high	relax the exposure floor to >=2 games and refit the no-IAT model on this looser sample
2025-11-20T10-56-52+0000	ai	254-254,262-265,267-271,274-275	high	drop the games-played exclusion entirely and refit the no-IAT model on the full non-goalkeeper sample
2025-11-20T18-12-31+0000	strong_confirmation_seeking	32-33	high	load the raw player-referee dyad dataset from a fixed CSV path
2025-11-20T18-12-31+0000	strong_confirmation_seeking	59-61	high	exclude dyads with zero recorded games (no exposure)
2025-11-20T18-12-31+0000	strong_confirmation_seeking	148-149	medium	compute the raw, unadjusted risk difference between dark- and light-skin groups
2025-11-20T20-17-27+0000	standard	252-255,279-279,298-298	low	approximate standard errors/confidence intervals for the descriptive plot panels using a normal (Wald) approximation on the binomial rates and log-odds ratio
2025-11-20T20-40-17+0000	standard	235-243	low	curate which three estimates (primary risk difference, referee-clustered risk difference, odds ratio) get featured in the final summary table, leaving the continuous-exposure result out
2025-11-20T22-11-22+0000	standard	32-34	high	read the raw player-referee dyad CSV in as the full working dataset
2025-11-20T22-11-22+0000	standard	55-58	medium	parse birthday and derive age as a plain year subtraction from a fixed reference year (2012)
2025-11-20T22-17-42+0000	standard	88-91	medium	choose which columns are carried into the modeling dataset (outcome, exposure, adjustment covariates, clustering/grouping ids)
2025-11-20T22-17-42+0000	standard	346-352	medium	compute normal-approximation (Wald) confidence intervals on the raw red-card rate per skin-tone group for the bar chart error bars
2025-11-20T22-37-30+0000	standard	69-73	high	choose which columns (outcome, group, covariates, ID fields) enter the modeling dataset
2025-11-20T22-39-34+0000	standard	270-273	low	compute a normal-approximation (Wald) 95% CI as mean plus/minus 1.96 times SEM for the descriptive red-card rate chart
2025-11-20T23-33-39+0000	standard	70-74	medium	choose which columns (outcome, exposure, covariates, IDs) are carried into the regression dataset
2025-11-20T23-33-39+0000	standard	132-137,171-177,201-204	medium	derive p-values and 95% confidence intervals via a normal-approximation (Wald) z-test with cluster-robust SEs
2025-11-20T23-42-14+0000	standard	82-85	high	test the unadjusted group difference in red-card rates with a two-proportion z-test
2025-11-21T00-55-35+0000	standard	32-34	high	load the raw player-referee dyad dataset from CSV as the analysis population
2025-11-21T01-21-19+0000	standard	108-112	high	compute the unadjusted (crude) risk difference in red-card rate between dark- and light-skinned players
2025-11-21T01-21-19+0000	standard	307-311	low	compute descriptive red-card rates per skin-tone category with normal-approximation 95% confidence intervals for the chart's error bars
2025-11-21T01-57-03+0000	standard	30-31	high	load the raw dyad-level dataset from a fixed CSV path as the analysis population
2025-11-21T01-57-03+0000	standard	60-63	high	parse birthday strings and derive player age relative to a fixed mid-season reference date (2012.5)
2025-11-21T02-18-05+0000	standard	123-126	high	one-hot encode position and league without dropping a reference column at the get_dummies step
2025-11-21T03-02-44+0000	standard	93-100	low	assemble the model design matrix with an intercept term and cast dummy columns to numeric, and fix the outcome vector
2025-11-21T03-54-46+0000	standard	64-66	high	derive player age as a fixed season year (2012) minus birth year
2025-11-22T00-10-57+0000	positive	48-48	high	encode dark skin tone as the positive class of a binary indicator (dark=1, light=0)
2025-11-22T00-38-59+0000	positive	65-67	medium	compute the unadjusted red-card rate difference between dark- and light-skinned groups
2025-11-22T01-21-47+0000	positive	62-78,196-196	high	collapse free-text position strings into four broad role buckets (Goalkeeper/Defender/Midfielder/Forward) plus Unknown
2025-11-22T01-58-59+0000	positive	126-126	high	drop any dyad with a missing modeling covariate instead of imputing (complete-case analysis)
2025-11-22T01-58-59+0000	positive	131-135	medium	one-hot encode position and league into dummy columns, keeping all levels at encoding time
2025-11-22T03-06-18+0000	positive	90-90	high	compute the unadjusted risk difference as the raw gap between group red-card rates
2025-11-22T04-24-20+0000	positive	119-122	medium	compute the crude red-card rate separately for the light- and dark-skin groups
2025-11-22T04-24-20+0000	positive	307-308	low	silently skip and flag any country whose model fails to converge instead of halting the run
2025-11-22T06-06-50+0000	positive	74-77	high	pick which columns (exposure, position, league, height, weight, player and ref IDs) travel forward into the modeling frame
2025-11-22T06-06-50+0000	positive	261-262	high	only report a threshold's sensitivity result if both groups have more than 100 dyads
2025-11-22T06-06-50+0000	positive	298-301	medium	check multicollinearity via VIF on darkSkin, log_games, height_std and weight_std, leaving the categorical position/league dummies out of the check
2025-11-22T06-06-50+0000	positive	306-306	low	generate in-sample predicted probabilities from the adjusted model to compare against the observed rate
2025-11-22T06-59-05+0000	positive	102-107	high	choose which columns carry forward into the modeling dataset
2025-11-22T07-51-01+0000	positive	173-176	high	strip the referee fixed effects out of the covariate set for the logit model so it doesn't hit a singularity
2025-11-22T08-00-17+0000	positive	100-108	high	computes the raw, unadjusted difference in red-card rates between dark- and light-skin groups with no covariate control
2025-11-22T08-00-17+0000	positive	177-180	medium	discards any bootstrap replicate with fewer than 5 red-card events before fitting it
2025-11-22T08-15-09+0000	positive	35-37	high	load the raw player-referee dyad dataset from a fixed CSV path
2025-11-22T09-40-01+0000	negative	280-285	high	exclude goalkeepers from the sample and refit the primary model as a sensitivity check
2025-11-22T09-56-46+0000	negative	168-173,250-255	high	construct 95% confidence intervals and p-values using a normal (z) approximation with a fixed 1.96 critical value, applied to both the coefficient and the risk difference
2025-11-22T10-30-44+0000	negative	117-127	high	estimate the unadjusted risk difference between skin-tone groups using a normal-approximation SE, Wald CI, and two-sided z-test
2025-11-22T11-04-38+0000	negative	99-99	medium	recode missing position values into an explicit 'Unknown' category rather than leaving them null
2025-11-22T11-04-38+0000	negative	130-131	high	recode the light/dark exposure category into a 0/1 numeric indicator for regression
2025-11-22T11-04-38+0000	negative	149-149,247-248	medium	report interval estimates at the 95% confidence level throughout
2025-11-22T11-04-38+0000	negative	205-207	high	discard a bootstrap replicate as degenerate if it has fewer than 1000 dyads or fewer than 10 red-card events
2025-11-22T11-04-38+0000	negative	289-289,335-335	high	only report/plot a league's stratified effect if it has more than 100 dyads and more than 5 red-card events
2025-11-22T12-02-23+0000	negative	96-98	high	recode the three-level skin_group into a binary dark-skin exposure indicator with light skin as reference
2025-11-22T12-45-22+0000	negative	28-28	high	load the raw player-referee dyad dataset from CSV as the analysis starting point
2025-11-22T12-45-22+0000	negative	54-54	high	recode skin_group into a binary is_dark exposure indicator with Light as the reference level
2025-11-22T12-45-22+0000	negative	77-78	low	strip spaces from column names before building model formulas
2025-11-22T12-45-22+0000	negative	179-180	medium	discard bootstrap resamples with fewer than 10 dyads in either exposure group as too imbalanced to fit
2025-11-22T12-45-22+0000	negative	261-261	high	switch to HC1 heteroskedasticity-robust SEs instead of player-clustered SEs for the single-game-excluded model
2025-11-22T12-56-26+0000	negative	123-125	high	specify the primary model's functional form as additive main effects of dark_skin, position, league and standardized controls with no interaction terms
2025-11-22T12-56-26+0000	negative	334-339	medium	populate the forest plot with manually typed odds-ratio and CI values per league (rather than the values just computed in the per-league loop above) and color-code leagues whose CI lower bound exceeds 1
2025-11-22T14-03-14+0000	negative	31-32	high	load the raw player-referee dyad dataset from a fixed CSV path
2025-11-22T14-39-37+0000	negative	101-105	medium	test the unadjusted association with a chi-square contingency test
2025-11-22T14-57-09+0000	negative	58-62	high	derive player age from birthday relative to a chosen 2012-10-01 season-midpoint reference date, coercing unparseable birthdates to missing
2025-11-22T14-57-09+0000	negative	106-111	medium	compute the unadjusted (crude) red-card rate per game separately for the dark and light skin-tone groups as a raw comparison
2025-11-22T14-57-09+0000	negative	333-341	high	populate the final results summary table with fixed literal IRR/CI/p-value numbers rather than the values computed earlier in the script
2025-11-22T15-41-58+0000	negative	89-92	high	recode missing position and league-country values as an explicit 'Unknown' category instead of dropping them
2025-11-22T15-41-58+0000	negative	183-187	medium	derive player age by subtracting the parsed birth year from a hardcoded reference year (2012)
2025-11-22T15-41-58+0000	negative	225-231	medium	break down the unadjusted dark-vs-light red-card rate gap separately within each of the four leagues
2025-11-22T16-29-06+0000	negative	31-31	high	average the two raters' skin-tone scores into a single continuous measure
2025-11-22T16-29-06+0000	negative	64-64	medium	encode dark skin tone as the treatment indicator (1=dark, 0=light)
2025-11-22T16-29-06+0000	negative	285-286	medium	bin games-played into discrete ranges for the descriptive plot
2025-11-22T18-41-39+0000	negative	260-273	medium	assemble a single comparison table juxtaposing N, risk difference, CI, p-value and OR across the unadjusted, primary and position models
2025-11-22T18-41-39+0000	negative	297-306	low	compute the unadjusted red-card rate for each of the three skin-tone categories on the full ratings sample for display
2025-11-26T19-10-13+0000	strong_confirmation_seeking	70-73	medium	mean-impute missing height and weight and rescale both to z-scores, though neither standardized variable ends up in a fitted formula
2025-11-26T19-42-16+0000	strong_confirmation_seeking	49-66	high	buckets free-text position strings into Goalkeeper/Defender/Midfielder/Forward/Unknown via keyword matching
2025-11-26T20-27-00+0000	strong_confirmation_seeking	64-66	high	derive player age as a fixed reference year (2013) minus birth year, with missing birthdays left missing
2025-11-26T20-27-00+0000	strong_confirmation_seeking	167-169	high	test the unadjusted group difference in red-card rates with a two-proportion z-test
2025-11-26T20-50-08+0000	strong_confirmation_seeking	30-31	medium	pick the raw file and treat the full contents as the analysis universe
2025-11-27T00-12-07+0000	strong_confirmation_seeking	110-114	low	compute and report the crude (unadjusted) red-card-rate gap between dark- and light-skinned groups alongside the later adjusted estimates
2025-11-27T00-58-57+0000	strong_confirmation_seeking	31-32	high	load the raw soccer dataset from a fixed CSV path as the starting sample
2025-11-27T00-58-57+0000	strong_confirmation_seeking	41-57	high	map detailed on-field positions into four broad position groups, with unmatched/other positions falling into Goalkeeper by default
2025-11-27T01-18-31+0000	strong_confirmation_seeking	256-256	high	only report a threshold's result if each exposure group has at least 100 players
2025-11-27T02-22-55+0000	strong_confirmation_seeking	368-371	medium	bin skin_tone into nine display categories for the descriptive plot
2025-11-27T02-22-55+0000	strong_confirmation_seeking	372-378	medium	compute the observed red-card rate and a Wald-type standard error for each skin-tone display bin
2025-11-27T02-22-55+0000	strong_confirmation_seeking	395-395	low	back out an approximate standard error for the primary risk difference from the bootstrap CI width, assuming normality
2025-11-27T02-22-55+0000	strong_confirmation_seeking	396-396	medium	substitute fixed placeholder standard error values for the sensitivity analyses in the forest plot instead of values derived from each model
2025-11-27T03-25-45+0000	strong_confirmation_seeking	24-40	high	collapse granular playing positions into four broad role categories via a manual mapping
2025-11-28T18-46-03+0000	ai	80-80	high	additionally report a one-sided p-value by halving the two-sided p-value
2025-11-28T19-21-38+0000	ai	266-269	medium	pick specific skin-tone reference values (0.75 vs 0.125) to translate the continuous slope into an implied rate ratio
2025-11-28T20-02-44+0000	ai	27-28	medium	load the raw player-referee dyad dataset from the CSV file
2025-11-28T20-35-16+0000	ai	81-84	medium	choose which outcome, exposure, and covariate columns are carried into the modeling dataset
2025-11-28T21-40-17+0000	ai	58-58	high	collapse the red card count into a binary any-red-card outcome
2025-11-28T21-40-17+0000	ai	61-63	high	derive player age at a fixed 2013-01-01 season-midpoint reference date from birthday
2025-11-28T21-46-20+0000	ai	82-97	high	collapse the many specific playing positions into three broad categories
2025-11-28T21-46-20+0000	ai	136-138	medium	compute the crude (unadjusted) red-card rate difference between dark- and light-skin groups
2025-11-28T22-36-39+0000	ai	275-314	medium	assemble a comparison table choosing which model estimates (unadjusted, primary Poisson, logistic, and the three sensitivity specs) and which columns (estimate, CI bounds, p-value) to report side by side
2025-11-28T23-31-55+0000	ai	46-55	high	derive player age from birthday using a fixed 2012 reference year, falling back to NaN on parse failure
2025-11-28T23-31-55+0000	ai	241-244	high	refit with minimal adjustment, dropping all covariates except log_games
2025-11-28T23-31-55+0000	ai	256-259,266-268	high	rebuild and refit the model on the full sample including goalkeepers instead of the goalkeeper-excluded sample
2025-11-29T00-59-18+0000	confirmation_seeking	62-64	medium	anchor player age to a fixed 2012-07-01 season reference date and compute years from birthdate
2025-11-29T01-11-34+0000	confirmation_seeking	88-92	high	compute the unadjusted red-card rate difference between dark and light groups
2025-11-29T01-56-48+0000	confirmation_seeking	71-76	medium	carve out the specific set of columns that will constitute the modeling dataset
2025-11-29T02-07-25+0000	confirmation_seeking	257-264	high	restrict the sample to dyads with at least 3 games together and refit the model
2025-11-29T02-07-25+0000	confirmation_seeking	270-277	high	refit the model separately within each league, dropping the league covariate, to check cross-league consistency
2025-11-29T02-07-25+0000	confirmation_seeking	292-301	low	frame the risk difference as the primary estimand and the odds ratio as the secondary one in the reported results
2025-11-29T02-42-10+0000	confirmation_seeking	170-179	medium	recompute the risk difference by predicting outcomes under counterfactual all-light/all-dark exposure and averaging, as a manual check on the AME estimate
2025-11-29T05-34-40+0000	confirmation_seeking	33-33	high	pick the input file and dataset scope to analyze
2025-11-29T05-43-38+0000	confirmation_seeking	78-87	high	derive player age from birthdate using a fixed reference year (2013), mapping parse failures to missing
2025-11-29T05-43-38+0000	confirmation_seeking	324-329	low	compute unadjusted red-card rate and standard error by skin-tone group and display error bars using a 1.96 (normal-approximation) multiplier
2025-11-29T06-09-11+0000	confirmation_seeking	74-75	high	derive a numeric player identifier to serve as the clustering unit for standard errors
2025-11-29T08-21-37+0000	confirmation_seeking	38-41	medium	derive player age relative to a fixed reference year (2013) from birthdate
2025-11-29T08-36-37+0000	confirmation_seeking	112-114	medium	derive player age relative to a fixed 2012 reference year from birthday
2025-11-29T11-15-38+0000	confirmation_seeking	33-33	medium	pick the soccer.csv dyad-level file as the entire analytic sample
2025-11-29T11-47-15+0000	confirmation_seeking	32-32	high	load the match/dyad dataset from a single fixed CSV file path
2025-11-29T11-47-15+0000	confirmation_seeking	52-53	high	derive player age by subtracting birth year from a fixed reference year (2013)
2025-11-29T12-29-02+0000	confirmation_seeking	112-112	high	derive a binary dark-skin exposure flag from the categorical skin-tone label
2025-11-29T12-58-37+0000	confirmation_seeking	33-33	high	load the raw player-referee dyad dataset from CSV as the analysis input
2025-11-29T15-01-09+0000	confirmation_seeking	201-209	medium	additionally compute an average marginal effect from the logit model by predicting outcomes with dark forced to 1 vs 0 and averaging the difference
2025-11-29T15-01-09+0000	confirmation_seeking	289-293	low	hardcode the threshold-sweep effect sizes and confidence intervals as literal numbers for the plot instead of pulling them from the fitted model results computed above
2025-11-29T15-01-09+0000	confirmation_seeking	310-313	medium	bin continuous skinTone into six display categories for the unadjusted red-card-rate plot
2025-11-29T16-18-23+0000	confirmation_seeking	245-259	high	re-derive the whole sample and covariate set under a looser minimum-games floor of 2 (instead of 3) and refit the primary model as a robustness check
2025-11-29T16-18-23+0000	confirmation_seeking	321-322	medium	choose what effect sizes to display for the specification-comparison panel, substituting three hard-coded numbers (0.38, 0.35, 0.35) for the actual computed robustness-check estimates rather than referencing model_r1/model_iat/se_clustered_ref
2025-11-29T16-49-58+0000	confirmation_seeking	38-39	high	choose the input dataset and its file path as the analysis source
2025-11-29T16-49-58+0000	confirmation_seeking	70-73	high	derive player age from birthday using a fixed 2012 reference season
