run,verdict,a_operation,b_operation,why
2025-11-16T11-59-47+0000,only_in_B,,"choose which four model specifications (primary, continuous, extremes, outfield) to show on the forest plot, leaving out the multi-game sensitivity",
2025-11-16T21-46-30+0000,same,approximate the AME's standard error via a delta-method scaling of the logit coefficient's SE,"approximate the marginal-effect standard error via a delta-method scaling of the logistic coefficient's SE by p(1-p), as an analytic alternative to a bootstrap SE",both approximate the marginal-effect SE by delta-method scaling of the logit coefficient's SE
2025-11-16T21-46-30+0000,same,compute the red-card rate and a normal-approximation 95% CI separately for every distinct observed skin-tone value,"compute an unadjusted red-card rate and a normal-approximation (Wald) confidence interval for each distinct raw skin-tone value, for the descriptive plot panel",both compute red-card rate and normal-approximation CI per distinct skin-tone value
2025-11-17T01-20-10+0000,same,substitute a single hand-picked approximate CI half-width for every forest-plot row instead of the CI actually computed for each specification,approximate each specification's confidence-interval half-width in the forest plot with a fixed constant rather than each model's actual computed CI,both replace each spec's real CI with one fixed approximate half-width
2025-11-17T01-20-10+0000,same,populate the forest plot's robustness-check row values with hand-typed literal numbers instead of referencing the actually-computed rd/rd_cont/rd_league/rd_noyellow/rd_min variables from section 5,hardcode the robustness-check risk-difference values shown in the forest plot as literal constants instead of referencing the rd/rd_cont/rd_league/rd_noyellow/rd_min variables computed earlier,both hardcode forest-plot risk-diff values instead of the computed rd variables
2025-11-17T01-20-10+0000,only_in_A,announce adding league-country fixed effects to the adjustment set,,
2025-11-17T01-20-10+0000,only_in_A,announce swapping the dichotomized exposure for the raw continuous skin-tone score,,
2025-11-17T01-20-10+0000,only_in_A,announce dropping yellow-card count from the adjustment set,,
2025-11-17T01-20-10+0000,only_in_A,announce a minimally-adjusted specification,,
2025-11-17T01-20-10+0000,only_in_A,announce a sensitivity sweep over alternative skin-tone cutoffs,,
2025-11-17T03-01-51+0000,same,restrict the working dataset to a fixed set of variables carried into all downstream models,cut the dataset down to just the variables carried forward into the analysis,both restrict the dataset to the fixed variable set carried into the analysis
2025-11-17T03-01-51+0000,only_in_B,,exclude any position subgroup with fewer than 100 dyads from the subgroup analysis,
2025-11-17T03-01-51+0000,only_in_A,derive a two-sided p-value via a normal-approximation z-test built from the bootstrap standard error rather than from the bootstrap distribution's own tails,,
2025-11-17T05-02-45+0000,same,"derive player age by subtracting birth year from a fixed 2012 season-reference year, coercing bad dates to missing","derive player age from birthday using a fixed 2012 reference year, coercing unparseable dates to missing","both derive player age from birthday using fixed 2012 reference, coercing bad dates to missing"
2025-11-17T05-02-45+0000,only_in_B,,compute a two-sided normal-approximation p-value (z = estimate/SE) for every effect estimate across the primary and robustness models,
2025-11-17T05-02-45+0000,only_in_A,"choose which covariates (age, height, weight, games) to inspect for balance across skin-tone groups",,
2025-11-28T18-46-03+0000,same,additionally report a one-sided p-value by halving the two-sided p-value,additionally report a one-sided p-value obtained by halving the two-sided p-value for the primary exposure effect,both report a one-sided p-value by halving the two-sided p-value for pval_dark
