run,decisions,forks_a,forks_b,same_fork_count,fork_count_delta,ari,pair_recall,co_pairs
2025-11-19T04-30-13+0000,18,17,18,False,1,0.0,0.0,1
2025-11-19T05-56-22+0000,16,16,15,False,-1,0.0,,0
2025-11-19T07-38-28+0000,20,20,20,True,0,1.0,,0
2025-11-19T09-10-20+0000,15,15,15,True,0,1.0,,0
2025-11-19T10-27-52+0000,17,17,17,True,0,1.0,,0
2025-11-19T11-29-03+0000,17,16,15,False,-1,0.6634,1.0,1
2025-11-19T13-48-49+0000,21,21,21,True,0,1.0,,0
2025-11-19T14-47-53+0000,14,14,14,True,0,1.0,,0
2025-11-19T16-04-43+0000,12,12,12,True,0,1.0,,0
2025-11-19T17-56-42+0000,22,21,20,False,-1,-0.0065,0.0,1
2025-11-19T19-09-24+0000,15,15,15,True,0,1.0,,0
2025-11-19T20-38-58+0000,16,16,16,True,0,1.0,,0
2025-11-19T22-14-21+0000,16,16,16,True,0,1.0,,0
2025-11-20T00-05-27+0000,19,19,18,False,-1,0.0,,0
2025-11-20T01-31-19+0000,15,15,15,True,0,1.0,,0
2025-11-20T02-49-33+0000,17,17,15,False,-2,0.0,,0
2025-11-20T04-21-39+0000,22,22,22,True,0,1.0,,0
2025-11-20T06-03-23+0000,21,21,21,True,0,1.0,,0
2025-11-20T07-33-53+0000,16,16,16,True,0,1.0,,0
2025-11-20T09-31-10+0000,16,16,16,True,0,1.0,,0
2025-11-20T10-56-52+0000,19,19,19,True,0,1.0,,0
2025-11-20T12-28-12+0000,19,18,19,False,1,0.0,0.0,1
2025-11-20T14-10-42+0000,13,13,13,True,0,1.0,,0
2025-11-20T16-42-37+0000,18,18,18,True,0,1.0,,0
2025-11-20T18-12-31+0000,21,21,21,True,0,1.0,,0
2025-11-20T20-17-27+0000,18,18,18,True,0,1.0,,0
2025-11-20T20-25-41+0000,14,14,14,True,0,1.0,,0
2025-11-20T20-40-17+0000,16,16,16,True,0,1.0,,0
2025-11-20T21-05-32+0000,16,15,16,False,1,0.0,0.0,1
2025-11-20T22-11-22+0000,16,16,16,True,0,1.0,,0
2025-11-20T22-17-42+0000,21,20,20,True,0,1.0,1.0,1
2025-11-20T22-37-30+0000,13,13,13,True,0,1.0,,0
2025-11-20T22-39-34+0000,21,20,20,True,0,1.0,1.0,1
2025-11-20T23-33-39+0000,19,19,19,True,0,1.0,,0
2025-11-20T23-42-14+0000,17,17,17,True,0,1.0,,0
2025-11-21T00-16-02+0000,14,14,14,True,0,1.0,,0
2025-11-21T00-55-35+0000,18,18,18,True,0,1.0,,0
2025-11-21T01-21-19+0000,18,17,17,True,0,1.0,1.0,1
2025-11-21T01-32-10+0000,17,16,16,True,0,1.0,1.0,1
2025-11-21T01-57-03+0000,16,16,16,True,0,1.0,,0
2025-11-21T02-18-05+0000,20,19,20,False,1,0.0,0.0,1
2025-11-21T02-39-07+0000,17,16,17,False,1,0.0,0.0,1
2025-11-21T03-02-44+0000,19,18,18,True,0,1.0,1.0,1
2025-11-21T03-48-39+0000,18,18,18,True,0,1.0,,0
2025-11-21T03-54-46+0000,20,20,20,True,0,1.0,,0
2025-11-22T00-10-57+0000,17,17,17,True,0,1.0,,0
2025-11-22T00-38-59+0000,19,18,18,True,0,1.0,1.0,1
2025-11-22T00-56-43+0000,17,16,17,False,1,0.0,0.0,1
2025-11-22T01-21-47+0000,18,17,17,True,0,1.0,1.0,1
2025-11-22T01-58-59+0000,21,21,21,True,0,1.0,,0
2025-11-22T02-11-01+0000,18,18,18,True,0,1.0,,0
2025-11-22T02-37-05+0000,19,18,18,True,0,-0.0059,0.0,1
2025-11-22T03-06-18+0000,15,15,14,False,-1,0.0,,0
2025-11-22T03-48-48+0000,18,18,18,True,0,1.0,,0
2025-11-22T04-02-51+0000,14,13,14,False,1,0.0,0.0,1
2025-11-22T04-24-20+0000,22,21,21,True,0,1.0,1.0,1
2025-11-22T04-54-12+0000,22,21,21,True,0,1.0,1.0,1
2025-11-22T05-51-21+0000,20,20,20,True,0,1.0,,0
2025-11-22T06-06-50+0000,22,22,22,True,0,1.0,,0
2025-11-22T06-36-51+0000,13,12,12,True,0,-0.013,0.0,1
2025-11-22T06-59-05+0000,17,17,17,True,0,1.0,,0
2025-11-22T07-51-01+0000,19,19,19,True,0,1.0,,0
2025-11-22T08-00-17+0000,20,20,20,True,0,1.0,,0
2025-11-22T08-15-09+0000,14,14,14,True,0,1.0,,0
2025-11-22T09-40-01+0000,16,16,16,True,0,1.0,,0
2025-11-22T09-56-46+0000,17,17,16,False,-1,0.0,,0
2025-11-22T10-30-44+0000,19,18,18,True,0,1.0,1.0,1
2025-11-22T11-04-38+0000,25,24,25,False,1,0.0,0.0,1
2025-11-22T11-14-05+0000,19,19,19,True,0,1.0,,0
2025-11-22T12-02-23+0000,15,14,14,True,0,1.0,1.0,1
2025-11-22T12-45-22+0000,23,22,23,False,1,0.0,0.0,1
2025-11-22T12-56-26+0000,20,20,20,True,0,1.0,,0
2025-11-22T14-03-14+0000,21,21,21,True,0,1.0,,0
2025-11-22T14-12-20+0000,22,22,22,True,0,1.0,,0
2025-11-22T14-39-37+0000,19,19,19,True,0,1.0,,0
2025-11-22T14-57-09+0000,16,16,16,True,0,1.0,,0
2025-11-22T15-41-58+0000,19,19,19,True,0,1.0,,0
2025-11-22T16-29-06+0000,21,20,20,True,0,1.0,1.0,1
2025-11-22T16-38-37+0000,21,20,21,False,1,0.0,0.0,1
2025-11-22T17-43-31+0000,20,18,19,False,1,0.6643,0.5,2
2025-11-22T18-22-29+0000,15,15,15,True,0,1.0,,0
2025-11-22T18-41-39+0000,22,21,21,True,0,-0.0043,0.0,1
2025-11-22T18-52-50+0000,16,16,16,True,0,1.0,,0
2025-11-26T16-37-23+0000,15,15,15,True,0,1.0,,0
2025-11-26T17-05-19+0000,17,16,17,False,1,0.0,0.0,1
2025-11-26T17-46-30+0000,15,15,15,True,0,1.0,,0
2025-11-26T18-25-33+0000,22,22,22,True,0,1.0,,0
2025-11-26T19-10-13+0000,19,19,19,True,0,1.0,,0
2025-11-26T19-42-16+0000,13,13,13,True,0,1.0,,0
2025-11-26T20-27-00+0000,21,21,20,False,-1,0.0,,0
2025-11-26T20-50-08+0000,18,18,18,True,0,1.0,,0
2025-11-26T21-41-50+0000,13,13,13,True,0,1.0,,0
2025-11-26T22-40-16+0000,14,14,14,True,0,1.0,,0
2025-11-26T22-51-43+0000,16,16,16,True,0,1.0,,0
2025-11-26T23-31-05+0000,18,18,18,True,0,1.0,,0
2025-11-27T00-12-07+0000,17,17,17,True,0,1.0,,0
2025-11-27T00-58-57+0000,15,15,14,False,-1,0.0,,0
2025-11-27T01-18-31+0000,21,21,21,True,0,1.0,,0
2025-11-27T01-53-05+0000,15,15,14,False,-1,0.0,,0
2025-11-27T02-22-55+0000,23,23,23,True,0,1.0,,0
2025-11-27T02-44-14+0000,14,14,14,True,0,1.0,,0
2025-11-27T03-25-45+0000,13,13,13,True,0,1.0,,0
2025-11-27T04-07-54+0000,13,13,13,True,0,1.0,,0
2025-11-28T18-46-03+0000,14,14,14,True,0,1.0,,0
2025-11-28T19-21-38+0000,17,17,17,True,0,1.0,,0
2025-11-28T19-35-48+0000,15,15,15,True,0,1.0,,0
2025-11-28T20-02-44+0000,19,18,19,False,1,0.0,0.0,1
2025-11-28T20-35-16+0000,17,17,17,True,0,1.0,,0
2025-11-28T21-40-17+0000,19,19,19,True,0,1.0,,0
2025-11-28T21-46-20+0000,20,20,20,True,0,1.0,,0
2025-11-28T22-36-39+0000,19,19,19,True,0,1.0,,0
2025-11-28T23-31-55+0000,16,16,16,True,0,1.0,,0
2025-11-29T00-13-53+0000,18,18,18,True,0,1.0,,0
2025-11-29T00-59-18+0000,23,23,23,True,0,1.0,,0
2025-11-29T01-11-34+0000,22,22,22,True,0,1.0,,0
2025-11-29T01-56-48+0000,18,18,18,True,0,1.0,,0
2025-11-29T02-07-25+0000,20,20,20,True,0,1.0,,0
2025-11-29T02-34-48+0000,16,16,16,True,0,1.0,,0
2025-11-29T02-42-10+0000,18,17,17,True,0,-0.0066,0.0,1
2025-11-29T04-37-04+0000,13,13,13,True,0,1.0,,0
2025-11-29T05-34-40+0000,19,18,18,True,0,1.0,1.0,1
2025-11-29T05-43-38+0000,19,19,19,True,0,1.0,,0
2025-11-29T06-09-11+0000,21,18,19,False,1,0.7977,0.6667,3
2025-11-29T08-18-50+0000,14,14,14,True,0,1.0,,0
2025-11-29T08-21-37+0000,21,20,20,True,0,1.0,1.0,1
2025-11-29T08-36-37+0000,16,16,16,True,0,1.0,,0
2025-11-29T08-52-24+0000,18,17,18,False,1,0.0,0.0,1
2025-11-29T09-34-51+0000,17,17,17,True,0,1.0,,0
2025-11-29T11-15-38+0000,21,20,21,False,1,0.0,0.0,1
2025-11-29T11-47-15+0000,21,19,20,False,1,0.6645,0.5,2
2025-11-29T12-29-02+0000,16,16,16,True,0,1.0,,0
2025-11-29T12-58-37+0000,15,14,14,True,0,1.0,1.0,1
2025-11-29T13-19-54+0000,15,15,15,True,0,1.0,,0
2025-11-29T14-40-56+0000,17,17,17,True,0,1.0,,0
2025-11-29T15-01-09+0000,16,16,16,True,0,1.0,,0
2025-11-29T15-25-10+0000,14,14,14,True,0,1.0,,0
2025-11-29T16-18-23+0000,18,18,18,True,0,1.0,,0
2025-11-29T16-49-58+0000,22,22,22,True,0,1.0,,0
2025-11-29T17-19-34+0000,16,16,16,True,0,1.0,,0
2025-11-29T18-13-22+0000,16,16,16,True,0,1.0,,0
2025-11-29T18-48-28+0000,18,17,16,False,-1,0.6637,1.0,1
2025-11-29T19-18-15+0000,17,17,17,True,0,1.0,,0
2025-11-29T20-04-37+0000,15,15,15,True,0,1.0,,0
2025-11-29T21-54-24+0000,16,15,15,True,0,1.0,1.0,1
2025-11-29T22-31-38+0000,20,19,19,True,0,1.0,1.0,1
2025-11-29T22-45-38+0000,19,19,19,True,0,1.0,,0
2025-11-29T23-23-58+0000,19,19,19,True,0,1.0,,0
2025-11-29T23-55-11+0000,19,19,19,True,0,1.0,,0
2025-11-30T00-13-01+0000,19,19,19,True,0,1.0,,0
2026-02-13T14-52-16+0000,15,15,15,True,0,1.0,,0
team-01,21,15,18,False,3,0.4891,0.3333,9
team-02,23,21,20,False,-1,0.3943,0.5,2
team-03,7,7,7,True,0,1.0,,0
team-05,13,12,11,False,-1,0.6609,1.0,1
team-06,26,18,20,False,2,0.8969,0.8182,11
team-07,6,6,6,True,0,1.0,,0
team-08,25,25,24,False,-1,0.0,,0
team-09,4,4,4,True,0,1.0,,0
team-10,26,21,23,False,2,0.6625,0.5,6
team-11,16,14,14,True,0,1.0,1.0,2
team-12,2,2,2,True,0,1.0,,0
team-13,20,18,19,False,1,0.6643,0.5,2
team-17,9,6,5,False,-1,0.6842,1.0,6
team-18,20,20,20,True,0,1.0,,0
team-20,4,4,4,True,0,1.0,,0
team-24,14,13,14,False,1,0.0,0.0,1
team-25,16,14,14,True,0,1.0,1.0,2
team-27,13,10,11,False,1,0.8506,0.75,4
team-28,16,15,15,True,0,1.0,1.0,1
