fork,option,occurrence,members,runs
"is the skin-tone effect tested for moderation by referee bias, and how?","add skin-tone x bias interaction, tone coded continuous",1,1,1
"is the skin-tone effect tested for moderation by referee bias, and how?","add skin-tone x bias interaction, tone coded continuous #2",2,1,1
"how are the model's standard errors computed and clustered, if at all?",two-way cluster by player and referee,1,3,3
"how are the model's standard errors computed and clustered, if at all?",two-way cluster by player and referee #2,2,1,1
does referee bias moderate the skin-tone effect (interaction test)?,test standardized skin-tone × moderator interaction in a binomial mixed model,1,1,1
does referee bias moderate the skin-tone effect (interaction test)?,test standardized skin-tone × moderator interaction in a binomial mixed model #2,2,1,1
how are continuous predictors scaled or transformed before entering the model?,"z-standardize height/weight, no log transform",1,4,4
how are continuous predictors scaled or transformed before entering the model?,"z-standardize height/weight, no log transform #2",2,1,1
are robust sandwich standard errors applied to the Poisson model?,apply robust sandwich SE correction to a poisson model,1,1,1
are robust sandwich standard errors applied to the Poisson model?,apply robust sandwich SE correction to a poisson model #2,2,1,1
which predictor set and functional form defines the primary regression model?,raw games + position + league + yellow + goals + height + weight,1,6,6
which predictor set and functional form defines the primary regression model?,raw games + position + league + yellow + goals + height + weight #2,2,1,1
how is the exposure effect estimated and reported (odds ratio via exponentiation,refit the adjustment set with a secondary logistic regression and report the odd,1,16,16
how is the exposure effect estimated and reported (odds ratio via exponentiation,refit the adjustment set with a secondary logistic regression and report the odd,2,1,1
how are interaction coefficients formatted for the results table?,format interaction coefficients for the results table,1,1,1
how are interaction coefficients formatted for the results table?,format interaction coefficients for the results table #2,2,1,1
how are interaction coefficients formatted for the results table?,format interaction coefficients for the results table #3,3,1,1
how are interaction coefficients formatted for the results table?,format interaction coefficients for the results table #4,4,1,1
what link/functional form is used for the control-cascade red-card model?,logit link,1,1,1
what link/functional form is used for the control-cascade red-card model?,logit link #2,2,1,1
"is the skin-tone effect tested for moderation by referee bias, and how?","add skin-tone x bias interaction term, coding unspecified, full sample",1,1,1
"is the skin-tone effect tested for moderation by referee bias, and how?","add skin-tone x bias interaction term, coding unspecified, full sample #2",2,1,1
how are referee bias measures incorporated into the adjusted model?,add bias measure as a separate/second regression block,1,2,2
how are referee bias measures incorporated into the adjusted model?,add bias measure as a separate/second regression block #2,2,1,1
how is the outcome/effect quantity operationalized?,compute crude risk difference as a point estimate (no significance test),1,35,35
how is the outcome/effect quantity operationalized?,compute crude risk difference as a point estimate (no significance test) #2,2,1,1
which predictor set and functional form defines the primary regression model?,raw games + position + league + goals + yellow + meanIAT + meanExp + height + we,1,3,3
which predictor set and functional form defines the primary regression model?,raw games + position + league + goals + yellow + meanIAT + meanExp + height + we,2,1,1
